"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Croatia";"Natural gas (including LNG) - imports";"2012";"Terajoules";"51291";""
"Croatia";"Natural gas (including LNG) - imports";"2011";"Terajoules";"33097";""
"Croatia";"Natural gas (including LNG) - imports";"2010";"Terajoules";"40407";""
"Croatia";"Natural gas (including LNG) - imports";"2009";"Terajoules";"39448";""
"Croatia";"Natural gas (including LNG) - imports";"2008";"Terajoules";"45882";""
"Croatia";"Natural gas (including LNG) - imports";"2007";"Terajoules";"40094";""
"Croatia";"Natural gas (including LNG) - imports";"2006";"Terajoules";"42807";""
"Croatia";"Natural gas (including LNG) - imports";"2005";"Terajoules";"43096";""
"Croatia";"Natural gas (including LNG) - imports";"2004";"Terajoules";"40037";""
"Croatia";"Natural gas (including LNG) - imports";"2003";"Terajoules";"43274";""
"Croatia";"Natural gas (including LNG) - imports";"2002";"Terajoules";"41207";""
"Croatia";"Natural gas (including LNG) - imports";"2001";"Terajoules";"41162";""
"Croatia";"Natural gas (including LNG) - imports";"2000";"Terajoules";"42104";""
"Croatia";"Natural gas (including LNG) - imports";"1999";"Terajoules";"42142";""
"Croatia";"Natural gas (including LNG) - imports";"1998";"Terajoules";"41952";""
"Croatia";"Natural gas (including LNG) - imports";"1997";"Terajoules";"39729";""
"Croatia";"Natural gas (including LNG) - imports";"1996";"Terajoules";"33402";""
"Croatia";"Natural gas (including LNG) - imports";"1995";"Terajoules";"10408";""
"Croatia";"Natural gas (including LNG) - imports";"1994";"Terajoules";"28234";""
"Croatia";"Natural gas (including LNG) - imports";"1993";"Terajoules";"30020";""
"Croatia";"Natural gas (including LNG) - imports";"1992";"Terajoules";"27398";""
"Czechia";"Natural gas (including LNG) - imports";"2014";"Terajoules";"276915";""
"Czechia";"Natural gas (including LNG) - imports";"2013";"Terajoules";"324154";""
"Czechia";"Natural gas (including LNG) - imports";"2012";"Terajoules";"284123";""
"Czechia";"Natural gas (including LNG) - imports";"2011";"Terajoules";"355528";""
"Czechia";"Natural gas (including LNG) - imports";"2010";"Terajoules";"324541";""
"Czechia";"Natural gas (including LNG) - imports";"2009";"Terajoules";"330292";""
"Czechia";"Natural gas (including LNG) - imports";"2008";"Terajoules";"330143";""
"Czechia";"Natural gas (including LNG) - imports";"2007";"Terajoules";"317899";""
"Czechia";"Natural gas (including LNG) - imports";"2006";"Terajoules";"372152";""
