"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Denmark";"Natural gas (including LNG) - exports";"2010";"Terajoules";"146899";""
"Denmark";"Natural gas (including LNG) - exports";"2009";"Terajoules";"166516";""
"Denmark";"Natural gas (including LNG) - exports";"2008";"Terajoules";"229373";""
"Denmark";"Natural gas (including LNG) - exports";"2007";"Terajoules";"188377";""
"Denmark";"Natural gas (including LNG) - exports";"2006";"Terajoules";"218084";""
"Denmark";"Natural gas (including LNG) - exports";"2005";"Terajoules";"233085";""
"Denmark";"Natural gas (including LNG) - exports";"2004";"Terajoules";"171722";""
"Denmark";"Natural gas (including LNG) - exports";"2003";"Terajoules";"120692";""
"Denmark";"Natural gas (including LNG) - exports";"2002";"Terajoules";"138837";""
"Denmark";"Natural gas (including LNG) - exports";"2001";"Terajoules";"142090";""
"Denmark";"Natural gas (including LNG) - exports";"2000";"Terajoules";"134087";""
"Denmark";"Natural gas (including LNG) - exports";"1999";"Terajoules";"119442";""
"Denmark";"Natural gas (including LNG) - exports";"1998";"Terajoules";"117136";""
"Denmark";"Natural gas (including LNG) - exports";"1997";"Terajoules";"129852";""
"Denmark";"Natural gas (including LNG) - exports";"1996";"Terajoules";"79350";""
"Denmark";"Natural gas (including LNG) - exports";"1995";"Terajoules";"69611";""
"Denmark";"Natural gas (including LNG) - exports";"1994";"Terajoules";"69808";""
"Denmark";"Natural gas (including LNG) - exports";"1993";"Terajoules";"67140";""
"Denmark";"Natural gas (including LNG) - exports";"1992";"Terajoules";"63846";""
"Denmark";"Natural gas (including LNG) - exports";"1991";"Terajoules";"58229";""
"Denmark";"Natural gas (including LNG) - exports";"1990";"Terajoules";"43172";""
"Egypt";"Natural gas (including LNG) - exports";"2014";"Terajoules";"245918";""
"Egypt";"Natural gas (including LNG) - exports";"2013";"Terajoules";"78780";""
"Egypt";"Natural gas (including LNG) - exports";"2012";"Terajoules";"235503";""
"Egypt";"Natural gas (including LNG) - exports";"2011";"Terajoules";"326726";""
"Egypt";"Natural gas (including LNG) - exports";"2010";"Terajoules";"493038";""
"Egypt";"Natural gas (including LNG) - exports";"2009";"Terajoules";"696350";""
"Egypt";"Natural gas (including LNG) - exports";"2008";"Terajoules";"672535";""
"Egypt";"Natural gas (including LNG) - exports";"2007";"Terajoules";"630800";""
"Egypt";"Natural gas (including LNG) - exports";"2006";"Terajoules";"631940";""
"Egypt";"Natural gas (including LNG) - exports";"2005";"Terajoules";"588222";""
"Egypt";"Natural gas (including LNG) - exports";"2004";"Terajoules";"140029.9997";""
"Egypt";"Natural gas (including LNG) - exports";"2003";"Terajoules";"30665.9991";""
"Egypt";"Natural gas (including LNG) - exports";"2002";"Terajoules";"0";""
"Egypt";"Natural gas (including LNG) - exports";"2001";"Terajoules";"0";""
"Egypt";"Natural gas (including LNG) - exports";"2000";"Terajoules";"0";""
"Egypt";"Natural gas (including LNG) - exports";"1999";"Terajoules";"0";""
"Egypt";"Natural gas (including LNG) - exports";"1997";"Terajoules";"0";""
"Egypt";"Natural gas (including LNG) - exports";"1996";"Terajoules";"0";""
"Egypt";"Natural gas (including LNG) - exports";"1995";"Terajoules";"865";""
"Egypt";"Natural gas (including LNG) - exports";"1994";"Terajoules";"1684";""
"Egypt";"Natural gas (including LNG) - exports";"1993";"Terajoules";"0";"1"
"Equatorial Guinea";"Natural gas (including LNG) - exports";"2014";"Terajoules";"193388";""
"Equatorial Guinea";"Natural gas (including LNG) - exports";"2013";"Terajoules";"184179";""
