LOCATION,MEASURE,TIME,Value
IRL,IDX2010,2004,102.5355
IRL,IDX2010,2005,102.4667
IRL,IDX2010,2006,102.8525
IRL,IDX2010,2007,100.5033
IRL,IDX2010,2008,99.20667
IRL,IDX2010,2009,99.89
IRL,IDX2010,2010,99.98333
IRL,IDX2010,2011,100.5417
IRL,IDX2010,2012,102.3583
IRL,IDX2010,2013,101.9833
IRL,IDX2010,2014,100.65
IRL,IDX2010,2015,106.1083
IRL,IDX2010,2016,105.35
ITA,AGRWTH,2001,1.214215
ITA,AGRWTH,2002,0.4486492
ITA,AGRWTH,2003,0.7670648
ITA,AGRWTH,2004,2.582386
ITA,AGRWTH,2005,2.846139
ITA,AGRWTH,2006,3.534569
ITA,AGRWTH,2007,3.043401
ITA,AGRWTH,2008,4.41743
ITA,AGRWTH,2009,-4.755268
ITA,AGRWTH,2010,3.296892
ITA,AGRWTH,2011,4.533333
ITA,AGRWTH,2012,1.873406
ITA,AGRWTH,2013,-0.1721575
ITA,AGRWTH,2014,-0.5722349
ITA,AGRWTH,2015,-1.324503
ITA,AGRWTH,2016,-1.41419
ITA,IDX2010,2000,84.41666
ITA,IDX2010,2001,85.44167
ITA,IDX2010,2002,85.825
ITA,IDX2010,2003,86.48333
ITA,IDX2010,2004,88.71667
ITA,IDX2010,2005,91.24167
ITA,IDX2010,2006,94.46667
ITA,IDX2010,2007,97.34167
ITA,IDX2010,2008,101.6417
ITA,IDX2010,2009,96.80833
ITA,IDX2010,2010,100
ITA,IDX2010,2011,104.5333
ITA,IDX2010,2012,106.4917
ITA,IDX2010,2013,106.3083
ITA,IDX2010,2014,105.7
ITA,IDX2010,2015,104.3
ITA,IDX2010,2016,102.825
LUX,AGRWTH,1981,10.58243
LUX,AGRWTH,1982,17.18262
LUX,AGRWTH,1983,5.016965
LUX,AGRWTH,1984,6.473575
LUX,AGRWTH,1985,2.980384
LUX,AGRWTH,1986,-2.830983
LUX,AGRWTH,1987,-7.137442
LUX,AGRWTH,1988,2.670865
LUX,AGRWTH,1989,8.144951
LUX,AGRWTH,1990,-2.247899
LUX,AGRWTH,1991,-2.546744
LUX,AGRWTH,1992,-2.359687
LUX,AGRWTH,1993,-1.750423
LUX,AGRWTH,1994,0.3333333
LUX,AGRWTH,1995,4.009623
LUX,AGRWTH,1996,-4.108382
LUX,AGRWTH,1997,1.654032
LUX,AGRWTH,1998,1.694915
